pathway_id,I,type,tissue
hsa00591,0.08641921873508067,kpca,Liver-brca-mouse
hsa00563,0.08294964721202777,kpca,Liver-brca-mouse
hsa00061,0.07761381946385734,kpca,Liver-brca-mouse
hsa04976,0.059415182189165056,kpca,Liver-brca-mouse
hsa01040,0.05515369541489003,kpca,Liver-brca-mouse
hsa00564,0.04366682275510002,kpca,Liver-brca-mouse
hsa02010,0.02947965554152993,kpca,Liver-brca-mouse
hsa00270,0.01426986019558763,kpca,Liver-brca-mouse
hsa00480,0.01426986019558763,kpca,Liver-brca-mouse
hsa00500,0.7183443001992212,gsva,Liver-brca-mouse
hsa05014,0.4896421909980301,gsva,Liver-brca-mouse
hsa00052,0.4820889248800527,gsva,Liver-brca-mouse
hsa04024,0.47542425155006296,gsva,Liver-brca-mouse
hsa00430,0.47337190832787673,gsva,Liver-brca-mouse
hsa00470,0.468879407119084,gsva,Liver-brca-mouse
hsa05230,0.4635428874934139,gsva,Liver-brca-mouse
hsa00970,0.4635428874934139,gsva,Liver-brca-mouse
hsa00220,0.4635428874934139,gsva,Liver-brca-mouse
hsa04150,0.4623172716510688,gsva,Liver-brca-mouse
hsa00330,0.45881774693087546,gsva,Liver-brca-mouse
hsa00920,0.4580072328934709,gsva,Liver-brca-mouse
hsa04072,0.45173943029905217,gsva,Liver-brca-mouse
hsa00051,0.4510983540697657,gsva,Liver-brca-mouse
hsa04723,0.4236315584516023,gsva,Liver-brca-mouse
hsa04964,0.4087173262287711,gsva,Liver-brca-mouse
hsa04070,0.40832720068607725,gsva,Liver-brca-mouse
hsa00250,0.3963678112262968,gsva,Liver-brca-mouse
hsa04727,0.3963678112262968,gsva,Liver-brca-mouse
hsa04724,0.3963678112262968,gsva,Liver-brca-mouse
hsa00910,0.3963678112262968,gsva,Liver-brca-mouse
hsa00630,0.3963678112262968,gsva,Liver-brca-mouse
hsa00230,0.3923751198556604,gsva,Liver-brca-mouse
hsa00564,0.39207041228900275,gsva,Liver-brca-mouse
hsa00240,0.39153730711764556,gsva,Liver-brca-mouse
hsa04148,0.37523073931797624,gsva,Liver-brca-mouse
hsa01040,0.35697246284523765,gsva,Liver-brca-mouse
hsa04979,0.35102959621048613,gsva,Liver-brca-mouse
hsa00120,0.33652810322140275,gsva,Liver-brca-mouse
hsa00061,0.3248050655067395,gsva,Liver-brca-mouse
hsa05231,0.3194399284142345,gsva,Liver-brca-mouse
hsa00030,0.31488158673653127,gsva,Liver-brca-mouse
hsa00053,0.3147515145470007,gsva,Liver-brca-mouse
hsa02010,0.30443718895712324,gsva,Liver-brca-mouse
hsa04976,0.2965895357616056,gsva,Liver-brca-mouse
hsa00565,0.29033969054838077,gsva,Liver-brca-mouse
hsa00480,0.2693462189086921,gsva,Liver-brca-mouse
hsa00860,0.2690779273901102,gsva,Liver-brca-mouse
hsa00270,0.26531949037138974,gsva,Liver-brca-mouse
hsa04216,0.2583471836614163,gsva,Liver-brca-mouse
hsa00563,0.20966879895634813,gsva,Liver-brca-mouse
hsa00591,0.18319041361725777,gsva,Liver-brca-mouse
hsa00120,0.6431939992204834,kpca,Lung-mouse
hsa04979,0.6268451564461189,kpca,Lung-mouse
hsa00430,0.49016875007063515,kpca,Lung-mouse
hsa00920,0.49016875007063515,kpca,Lung-mouse
hsa00240,0.45413100155105857,kpca,Lung-mouse
hsa04072,0.43187728071188064,kpca,Lung-mouse
hsa04150,0.4094035380355435,kpca,Lung-mouse
hsa04964,0.3979472390405086,kpca,Lung-mouse
hsa00470,0.3902645503431367,kpca,Lung-mouse
hsa00220,0.3902645486841878,kpca,Lung-mouse
hsa05230,0.3902645486841878,kpca,Lung-mouse
hsa00970,0.3902645486841878,kpca,Lung-mouse
hsa05014,0.38314992904812756,kpca,Lung-mouse
hsa00500,0.3756620121656688,kpca,Lung-mouse
hsa04724,0.3698207839285835,kpca,Lung-mouse
hsa00630,0.3698207839285835,kpca,Lung-mouse
hsa00250,0.3698207839285835,kpca,Lung-mouse
hsa04727,0.3698207839285835,kpca,Lung-mouse
hsa00910,0.3698207839285835,kpca,Lung-mouse
